time_au,cl_z,cl_vz
6.0,0.5725427275982536,2.616609085009296
6.02,0.6248693317039934,2.616050450899342
6.04,0.6771847456342274,2.615491066882906
6.06,0.7294889743793097,2.614930046281107
6.08,0.7817819474854717,2.614367753163882
6.100000000000001,0.834063684505865,2.613806126664007
6.12,0.8863341925520319,2.61324251086636
6.140000000000001,0.9385933849405194,2.612676596353825
6.16,0.9908412564061848,2.612109510476233
6.18,1.043077765359569,2.61154051573616
6.2,1.095302877035631,2.610970854991488
6.22,1.147516599559228,2.610401654293832
6.24,1.199718943207384,2.609831554554169
6.26,1.251909861741395,2.609259405306163
6.28,1.304089319419631,2.608686290113378
6.3,1.35625731334593,2.608111305777525
6.32,1.408413771650732,2.607535150173183
6.34,1.460558719352857,2.606958589642299
6.36,1.512692115236424,2.606379520812437
6.38,1.564813900185355,2.605799727703932
6.4,1.616924104344581,2.605220779782303
6.42,1.669022731376647,2.604640651784563
6.44,1.721109730415964,2.604058748489379
6.46,1.773185081316222,2.603476655420279
6.48,1.825248796632775,2.602893969258149
6.5,1.877300840086548,2.602309266191757
6.52,1.929341167280445,2.601723283331798
6.54,1.98136977141982,2.601135276601762
6.56,2.033386578344516,2.60054499059689
6.58,2.085391571043695,2.599954581645827
6.600000000000001,2.137384761610349,2.59936422580418
6.62,2.189366140075863,2.598772987275409
6.640000000000001,2.241335681101365,2.598179877763953
6.66,2.293293335186421,2.597586547988327
6.68,2.345239143020898,2.596992485895554
6.7,2.397173034622243,2.596395912645979
6.72,2.449094979526737,2.595798830462632
6.74,2.501004987840748,2.59520073980986
6.76,2.552903009119131,2.594600707497389
6.78,2.604789016140643,2.594000178087625
6.8,2.656663016242636,2.593399068579712
6.82,2.708524978883831,2.592797579021199
6.84,2.760374919403484,2.592194362122517
6.86,2.812212753368732,2.591590006724725
6.88,2.864038519672473,2.590985093110602
6.9,2.915852157093156,2.590377933058337
6.92,2.967653636994807,2.589769236101327
6.94,3.019442926537209,2.589158751327666
6.96,3.071219987047913,2.588548378456254
6.98,3.12298486167546,2.587938182246712
7.0,3.174737514337782,2.587326955893302
7.02,3.226477939911192,2.58671492543753
7.04,3.278206111355283,2.586102530502396
7.06,3.329922041131288,2.585489471582924
7.08,3.3816256902186,2.584875046084991
7.100000000000001,3.433317042974687,2.584259820834983
7.12,3.484996083051999,2.583642464494675
7.140000000000001,3.536662741554474,2.583022956003747
7.16,3.588317001292149,2.582403188022461
7.18,3.639958869075373,2.581783641481993
7.2,3.691588346951428,2.581163349711486
7.22,3.743205403063832,2.580541980740919
7.24,3.794810026181065,2.579920742236967
7.26,3.84640223275331,2.579298834383622
7.28,3.89798197955641,2.578674881982921
7.3,3.949549228032627,2.578049971165168
7.32,4.001103978403017,2.577425321063542
7.34,4.052646240875169,2.576799259983307
7.36,4.104175948802348,2.576171700712399
7.38,4.155693108903664,2.575543398927716
7.4,4.207197684759457,2.574915263300724
7.42,4.258689719435694,2.574286161690644
7.44,4.310169131227083,2.573655051857047
7.46,4.361635921509975,2.573023910557367
7.48,4.413090087649377,2.572391665687886
7.5,4.46453158813749,2.571757886131526
7.52,4.515960403094637,2.571123663366714
7.54,4.567376534672158,2.570488982083456
7.56,4.618779962377976,2.569853572551748
7.58,4.670170677574228,2.569216614467249
7.600000000000001,4.721548626956666,2.568578665445713
7.62,4.772913824192057,2.567940451980803
7.640000000000001,4.824266245035898,2.567301266471139
7.66,4.875605874850902,2.566661996547187
7.68,4.926932724897785,2.566021486494446
7.7,4.97824673431068,2.565379361271032
7.72,5.029547899348627,2.564736084043798
7.74,5.080836177672432,2.564092497335427
7.76,5.132111599242044,2.563448726868215
7.78,5.183374126747161,2.562803025012399
7.8,5.23462372024254,2.562156343918938
7.82,5.285860380503919,2.561509157616882
7.84,5.337084086547216,2.560860142702019
7.86,5.388294786212,2.560210859878083
7.88,5.439492520942339,2.559561815841125
7.9,5.490677258845644,2.558912621976411
7.92,5.541849025821395,2.558261716023586
7.94,5.593007727486587,2.557608747875165
7.96,5.644153375736401,2.556954677691932
7.98,5.695285914594264,2.556298883101755
8.0,5.746405331060472,2.55564195591403
8.02,5.797511592830826,2.5549837394095
8.040000000000001,5.848604680636852,2.554325632958297
8.06,5.899684618149158,2.553667039955816
8.08,5.950751362235085,2.55300672988837
8.1,6.001804887344694,2.552346328402245
8.120000000000001,6.052845215371175,2.551684228327905
8.14,6.10387225647781,2.551019199487968
8.16,6.154885983350693,2.550352182584336
8.18,6.205886343781183,2.549684297540246
8.2,6.256873355252303,2.549015536899208
8.22,6.307846965257151,2.548344616011447
8.24,6.358807139892761,2.547673403918671
8.26,6.409753901413898,2.547000959378564
8.28,6.460687178267904,2.546327057567242
8.3,6.511606983716588,2.545653532821497
8.32,6.562513319580764,2.544977755254594
8.34,6.613406093926772,2.544298178013079
8.36,6.664285246701287,2.543616521812873
8.38,6.715150754799287,2.54293339096398
8.4,6.766002582339846,2.542248333728613
8.42,6.816840688148431,2.541562235120491
8.44,6.867665071744665,2.540875885526337
8.46,6.918475723569484,2.540188048625629
8.48,6.96927259368969,2.539499088088292
8.5,7.020055687093016,2.538808476976992
8.52,7.07082493276877,2.538115576143377
8.540000000000001,7.121580310138751,2.537420490454277
8.56,7.172321752386941,2.536721750726737
8.58,7.223049180167821,2.536020449578974
8.6,7.2737625703701,2.535316533428953
8.620000000000001,7.324461841504978,2.534611671443241
8.64,7.375147037227829,2.533907425309135
8.66,7.425818138517343,2.533201120968982
8.68,7.476475082066588,2.5324928004612
8.700000000000001,7.527117850535791,2.53178343603162
8.72,7.577746419507853,2.531071509903946
8.74,7.628360710931949,2.530355841798284
8.76,7.678960653179784,2.529636981017183
8.78,7.729546190172636,2.528915743747276
8.8,7.780117282929675,2.528191056286107
8.82,7.83067383242408,2.527464830162013
8.84,7.881215876136155,2.526739668888117
8.86,7.931743419179604,2.52601276271225
8.88,7.982256386644645,2.52528382899762
8.9,8.032754772339509,2.524552537684718
8.92,8.083238488152032,2.523817901237648
8.94,8.133707488389014,2.523080649772513
8.96,8.184161714142933,2.522340386226445
8.98,8.234601103838072,2.521597611832968
9.0,8.285025618616253,2.52085177723649
9.02,8.335435174927532,2.520104774704142
9.04,8.385829809604418,2.519358513506102
9.06,8.436209515467777,2.518610171110473
9.08,8.486574216448838,2.51786001996594
9.1,8.536923916266415,2.517107145946007
9.12,8.587258502286678,2.516351510401632
9.14,8.63757797668248,2.515594029084885
9.16,8.687882263450073,2.5148333907573
9.18,8.73817131231277,2.51407121023396
9.2,8.788445111859431,2.51330638151288
9.22,8.838703567573287,2.512540189534758
9.24,8.888946719440822,2.511774519405996
9.26,8.939174548349527,2.511006935849706
9.28,8.98938699687481,2.510238307461027
9.3,9.039584080647968,2.509466786338661
9.32,9.089765668328358,2.508692756775586
9.34,9.139931790918991,2.507917795123007
9.36,9.190082380133278,2.50714010314504
9.38,9.240217395044796,2.506361607083729
9.4,9.290336844416627,2.505581588217948
9.42,9.340440658573511,2.50480090648907
9.44,9.39052888067619,2.504020879737515
9.46,9.440601493763012,2.503239539410746
9.48,9.49065846225262,2.502458197023492
9.5,9.540699821643951,2.501674529233969
9.52,9.59072544342198,2.500888731973611
9.54,9.640735370922895,2.500102970854398
9.56,9.690729562256156,2.499315528226709
9.58,9.740707992051966,2.498528157666864
9.6,9.79067068856283,2.497740499217341
9.62,9.84061761202066,2.496953342074528
9.64,9.890548822245812,2.496167411965346
9.66,9.940464308499276,2.495380778250182
9.68,9.99036405337582,2.494594594456517
9.7,10.04024809227754,2.493806872627539
9.72,10.09011632828092,2.493018482644819
9.74,10.13996883158333,2.492231572494335
9.76,10.1898055911807,2.491444390920745
9.78,10.23962660722016,2.490658669065068
9.8,10.2894319379433,2.489873804637978
9.82,10.33922155940568,2.489090501566797
9.84,10.38899555800597,2.488309521506009
9.86,10.43875394026592,2.487528334425373
9.88,10.48849669138299,2.486747786169825
9.9,10.53822385171271,2.485967218423547
9.92,10.58793538011993,2.485188184300403
9.94,10.63763137908473,2.484412094727892
9.96,10.68731186390904,2.483637123606527
9.98,10.73697686402899,2.482864935565529
10.0,10.78662646133166,2.482095103209966
10.02,10.83626066815739,2.481328017693312
10.04,10.8858795820394,2.480564734610584
10.06,10.93548325754181,2.479802904048791
10.08,10.98507169820135,2.479042057251564
10.1,11.03464493983187,2.47828259118088
10.12,11.08420300184858,2.477526108577819
10.14,11.13374598417499,2.476774037464461
10.16,11.18327396334716,2.476025055987281
10.18,11.23278698641448,2.47527957205249
